,LQ_Company_Name,LQ_Company_Address,LQ_Service,LQ_Customer_Name,Calls Count,Connection Made Calls,TO_Event_O,timezone,season_status,TO_User_M,lgs_sentiment_style,lgs_agent_gender,TO_length_in_sec,is_decision_maker,ready_for_customers,forbidden_industry,ready_to_transfer,customer_sentiment_lgs,customer_sentiment_omc,customer_language,customer_knows_marketing,customer_availability,who_said_hello_first_lgs,customer_marketing_experience,technical_quality_score,technical_quality_issues,TO_OMC_User,TO_OMC_Disposiion,omc_agent_sentiment_style,omc_who_said_hello_first,customer_talk_percentage,total_discovery_questions,total_buying_signals,time_to_reason_seconds,location_mentioned,business_type_mentioned,within_45_seconds,call_structure_framed,total_objections,objections_acknowledged,price_mentions_final_2min,timeline_mentions_final_2min,contract_mentions_final_2min,objections_rebutted,total_interruptions,commitment_type,call_result_tag
LQ_Company_Name,0.0,-0.009563147908821283,-0.03132765997265187,-0.014704715183277275,-0.13078651098254204,0.019620602224440262,0.0776497744344384,0.04648339433162789,0.1078357268067673,0.016689814293910095,0.004611667324997723,-0.03370865724247937,0.02499857912315278,0.027072511311821583,-0.07059914578144849,-0.09009080333267323,0.14350307839459625,0.03797747840034436,-0.0492350238864525,-0.04914808195465856,0.07527741139700561,0.05440176900587569,-0.03194361549031112,0.024990974921204584,-0.10858576575287411,0.021895094206288924,-0.06733567527652348,-0.05380548145746914,-0.0032735081813955354,0.033809731677709835,-0.07248468269308729,0.06803593996629015,-0.006804503667245634,-0.05316239373409591,0.10518034052263092,0.07205693738913112,0.14618533389866997,-0.04965100779255326,0.018926930571348675,0.03823358163158559,0.010117236065945723,0.04540022737678138,0.11465963572862437,0.10724234177256384,-0.012103143175983131,-0.046508220334167766,-0.009553065036682094
LQ_Company_Address,-0.009563147908821283,0.0,-0.12047677961316128,0.040287781852107754,-0.021690046027134095,0.07059953147084443,0.037404204289566305,0.04469588452599739,-0.05516640032620079,0.06236330031646028,0.0964916673317853,-0.11029501927592106,-0.09854313332869645,0.019196576756554302,0.07631266878228957,0.0946459373480186,-0.036593832743898026,-0.0773040416801635,0.13872401561063555,-0.017160860472537474,0.06887309213043243,-0.04479139442480516,-0.028101016517717122,-0.033236163841338394,-0.05043773698130901,-0.015147101190950793,-0.11370714713768286,-0.028205382971666675,-0.03842408152776969,-0.09621158257633883,0.1058427906781801,0.043843221871057006,0.05440225036340053,0.015353633776376401,-0.052597467214062915,-0.027607039537006474,-0.077825859788718,-0.0026676721970247336,0.06467462641576092,0.0367297465121086,0.02517891049100704,-0.006757527505936389,-0.014316542174596145,-0.060469099762717866,-0.05721272764375605,-0.03639947227861485,0.008336625193124855
LQ_Service,-0.03132765997265187,-0.12047677961316128,0.0,-0.049799038440305705,-0.05255675926837704,-0.012146106854462744,-0.05816886666167427,0.04298619542450384,0.035861687809910586,-0.030532166014162063,0.0748565584185151,-0.040802143396380226,-0.0007677909493143883,0.030595075735172887,0.10557460289801583,-0.07643709596635645,0.06384189794884039,0.046050246622902545,-0.08983906946879414,0.016063326586079337,-0.0059092634608252925,0.08146221581556662,-0.09499422616937132,0.0421952967028969,-0.028988414180824457,-0.05226614888807349,0.027762765855516226,-0.04461241488791097,0.017650756770564217,0.01097689152711828,0.005444588063374308,-0.030817753002777084,-0.10995554839090214,-0.03939785057636319,-0.036938276922953955,0.0017701038811635574,-0.019886388672794776,-0.04397730128907844,-0.07255767300072538,-0.05434098476393143,-0.022619555028468512,0.009099455542817873,-0.016405925670781824,-0.022828149971957028,-0.0628380516231668,-0.051170232272838206,-0.04517157325103409
LQ_Customer_Name,-0.014704715183277275,0.040287781852107754,-0.049799038440305705,0.0,-0.10720638692432155,-0.0549300420084725,-0.01868592884153649,0.03857329266940636,0.021665839942462753,0.061342692160718845,-0.013569822672828127,-0.07623085414135385,-0.009482520658754545,0.10592989479197525,0.0240292829844835,-0.07423839371659281,0.19675942077485584,0.012637737336196293,0.049965316414678176,0.05870142758007794,-0.02267716923592865,0.007971747502803328,0.0625104136731294,0.05146396759620102,0.06656906600987372,-0.008026014682397307,-0.07801148191206467,0.0020615370970990185,-0.037885125153064206,0.027016405398338467,0.11185591544469345,-0.0017784195453401583,0.0020585636607799336,-0.04808503830181536,0.022814516585384047,0.026466286984587112,0.10599157633010273,0.04304288065053592,0.0611430928944882,0.017100305667587357,-0.028377347312029184,0.0015519494111052579,0.03223040473460204,0.004836935994473053,0.05253517488931809,-0.08281864229242251,0.07537539426832884
Calls Count,-0.13078651098254204,-0.021690046027134095,-0.05255675926837704,-0.10720638692432155,0.0,-0.057743025221580924,-0.054404143766129225,0.024820176498498478,-0.03936949519134242,-0.004518093643148313,0.01652033633121018,0.019766564481460136,0.05356306507005097,0.022485448735465423,0.04332598675979293,0.021213845226701673,-0.0751822060283053,-0.08172089878816984,-0.02677923541834597,0.021535501986332743,0.06535583822230459,0.05238384028136943,0.05341863702583297,-0.07783811060123798,-0.04788104112743177,0.12051752253609438,-0.017060934111302432,-0.036339524817536634,0.02040814867026165,0.040890056517723955,0.0508404118361966,0.09218758666552757,0.07446124985000457,0.000631971356840226,-0.03399392429276482,-0.0640454333876766,-0.090469046871612,0.03739487696197526,0.028484216467649544,0.005616738203905212,-0.026959975279904253,0.07487936740992254,0.032706471506133386,-0.019810386625298992,0.09002640024868616,-0.06330486887646242,-0.0017445438140176982
Connection Made Calls,0.019620602224440262,0.07059953147084443,-0.012146106854462744,-0.0549300420084725,-0.057743025221580924,0.0,0.02572244331311148,0.02195895453351306,-0.012843402451832828,-0.07850467468368076,-0.1389282027122265,-0.028216700104673198,0.08462097391091607,0.04439040219754035,0.13269644343319134,-0.049711068547048404,-0.06559056023758537,-0.025641865774197935,-0.007666204491682356,-0.09666715266145319,-0.023865701849961642,-0.05402967659970624,0.07709005812070645,-0.06313370809984994,-0.050728683890768636,0.13755832290028477,-0.02446815787356508,-0.038599807213679935,-0.023904466913118552,-0.012315176973709147,0.12717907469821177,0.20388186730683688,0.10067263632782349,0.022271204536725632,0.04295479835730759,0.04405051305250604,0.014416457754502416,0.09688142042789749,0.07417295870241115,0.08114086824328666,-0.010256728239755115,0.017575138040334035,-0.027420492964096856,0.07282909253382633,0.08963370981486599,-0.009707398759291878,-0.08790044159023354
TO_Event_O,0.0776497744344384,0.037404204289566305,-0.05816886666167427,-0.01868592884153649,-0.054404143766129225,0.02572244331311148,0.0,-0.08203515077252216,-0.060002307866418095,-0.0025691898432830262,0.086363771140581,0.02926379796184333,0.02044573297200007,0.004650717842536031,-0.012924854009982334,-0.03464045738680283,0.05485397497284844,-0.009964733261822787,0.03750695661533553,-0.05880710481651037,-0.07020931406627673,-0.016849784804483632,-0.1839417257803481,-0.12747240529464934,-0.056132557901130226,-0.0620321597029171,-0.09757659926385856,-0.05001920390015554,0.054097486597893193,-0.06074843725389565,-0.032978006627664855,0.03208979447555928,0.08702880559264484,0.008736515065254191,0.0663196861944897,0.1355585253917215,0.16897963002502664,0.06952722842592146,0.10245336138430351,0.07037527112267174,0.13160505874272754,0.13349495982945467,-0.04287927838304354,0.0225489442046349,0.0796866697166414,-0.04951762436785019,0.15833082884792804
timezone,0.04648339433162789,0.04469588452599739,0.04298619542450384,0.03857329266940636,0.024820176498498478,0.02195895453351306,-0.08203515077252216,0.0,-0.07604119576871052,-0.11675602030808388,0.015419717955012513,0.040925244496554644,0.052782996551107166,-0.028093454545339545,-0.05414581706319413,-0.030453773760480037,-0.05387286591142564,-0.044983983644968945,0.08438471667059463,-0.1059690493441959,0.00443403684076539,-0.03354405084012728,0.00419145483444594,-0.0015390722505870674,-0.0004939486204654162,-0.03931661451475966,-0.06042878524334515,-0.05166778157638467,0.030983018972243107,0.0035636765868317655,0.03187760366387169,-0.08517921879079998,-0.0880477472044282,-0.025577773786662573,0.09036523107705338,-0.0025026755976573535,0.04806672262942022,0.030125702144991065,0.06443965233056839,0.048751982967297595,0.03149446864312841,0.09229500447176125,0.02711078420083003,-0.01555464009938608,0.0099947765304047,-0.031039981033134337,0.0739910625575707
season_status,0.1078357268067673,-0.05516640032620079,0.035861687809910586,0.021665839942462753,-0.03936949519134242,-0.012843402451832828,-0.060002307866418095,-0.07604119576871052,0.0,0.03459285823098114,-0.03181975514063806,0.005008361916376443,0.07109432209318226,0.00012115264927045621,-0.00024450322783459155,-0.04567243764946506,0.0701645047169844,0.008844232201871836,0.014181791764414003,-0.04753124930537883,-0.012758824939263919,0.0008590198023826767,0.04249841578349224,-0.060096780263916676,0.047024154141918906,0.04492883821910081,-0.018186092658481947,-0.05190533624937854,-0.013471381287615127,0.012106284233579206,0.03499350865392772,0.033001862005830836,-0.06874181430375065,0.048704973075232874,0.008445837061575708,0.036840770236756006,0.0364811815196907,-0.03471079536813617,0.010485650366374617,0.007446016575996091,0.05605890253181668,-0.06853045373823924,-0.02548334744292417,-0.013914291801378022,0.04604222695131897,0.07166191665062925,-0.06968891582640098
TO_User_M,0.016689814293910095,0.06236330031646028,-0.030532166014162063,0.061342692160718845,-0.004518093643148313,-0.07850467468368076,-0.0025691898432830262,-0.11675602030808388,0.03459285823098114,0.0,-0.09285681052727088,0.08925242373468949,-0.05550542564620675,-0.011632269412877701,0.03601078051756803,0.002985658777683425,-0.10818582629373974,0.05271716726173391,-0.058685822701194976,-0.02473028186766482,0.032098316675099034,-0.04057818608781416,0.02559252354898837,0.09063495494347454,0.08226935028289306,-0.04457774212370126,0.07165849732651863,-0.008967456696573617,-0.01920760876987327,0.08351545597784714,-0.1149213972512394,-0.02974167118875414,-0.03394504779959871,0.04837963677439158,-0.11996401859550314,-0.04128006734167139,-0.03416583375014455,-0.051801761690632026,-0.09043553906112052,-0.026000729433630805,-0.021998807929779506,0.018001181140994367,-0.009110838507599663,-0.04360130056891086,-0.02003536240527674,-0.01602678307720505,0.08833891554170102
lgs_sentiment_style,0.004611667324997723,0.0964916673317853,0.0748565584185151,-0.013569822672828127,0.01652033633121018,-0.1389282027122265,0.086363771140581,0.015419717955012513,-0.03181975514063806,-0.09285681052727088,0.0,0.015414383318240021,-0.05533613474884766,0.033915855391013355,0.08323858926267172,-0.020188975238811448,0.1594704845137606,-0.1373436107345119,0.0011691583430155361,0.04792436926808202,-0.07439185969667572,-0.04466954597079237,-0.01923741744541578,-0.04201578313998226,0.07286952619243438,0.0017788465907874716,0.013946881667931182,-0.0937003890196116,-0.08106352620506008,-0.11174820318381382,0.15247972350160874,0.0030753747808664883,0.10562844197964161,0.08311301057336831,-0.024123352766061645,0.13079460663595532,0.056444372911620626,0.005419342676685535,0.017902734056519015,-0.061359704806636356,0.02395930518252981,-0.025175438662140545,-0.007149553518404742,-0.011570432542412364,0.08148457071673082,0.035486494920811754,-0.13940103772938828
lgs_agent_gender,-0.03370865724247937,-0.11029501927592106,-0.040802143396380226,-0.07623085414135385,0.019766564481460136,-0.028216700104673198,0.02926379796184333,0.040925244496554644,0.005008361916376443,0.08925242373468949,0.015414383318240021,0.0,-0.015821024583144203,0.0655375622401651,0.011025021989163677,-0.010907393432613158,-0.010203368130377477,-0.029221050742896965,0.01828960045247277,0.04193531988733101,0.0728064364087526,-0.07693929315437739,-0.11291699956224273,-0.009096702271318945,-0.0030033838225476256,-0.09024947585847425,-0.096063017633808,-0.07316186932484176,-0.015330382281257961,-0.04028602595965985,-0.057889110073365495,-0.11306623074941975,-0.1214303624760176,0.05517756842783393,-0.012455444009699166,0.03931687015889372,-0.013091059826316247,0.002761382594090353,-0.028605695117344357,-0.04173180035845288,0.02098952911294996,0.023955390242378083,0.02720037776787263,-0.005701300881567464,-0.049259539978669345,0.022141403466837985,0.05617118155332215
TO_length_in_sec,0.02499857912315278,-0.09854313332869645,-0.0007677909493143883,-0.009482520658754545,0.05356306507005097,0.08462097391091607,0.02044573297200007,0.052782996551107166,0.07109432209318226,-0.05550542564620675,-0.05533613474884766,-0.015821024583144203,0.0,-0.023278563365188274,-0.03568544542766275,0.11560578925875915,-0.053396181152179256,0.043609154230570324,-0.1647546713234194,0.009392182958074966,0.08065089255169226,0.13520366875994116,0.16683374294616665,-0.09916278372217983,-0.05990769122922435,-0.03481446646580383,-0.007884747023964333,-0.02723005300204021,0.039675414435111814,0.11317260570027068,-0.07809241756311076,-0.07735499076005498,-0.04706088882227562,-0.015261740275849561,-0.07950726981415734,-0.07845499191416835,-0.08781612473412809,-0.10125319470749973,-0.10322225831625825,0.021852979377207697,-0.05443302932156743,-0.03632180919377391,0.061507811723889506,-0.0827446192708789,-0.09511071141477474,0.09926648568389633,-0.06355547891474572
is_decision_maker,0.027072511311821583,0.019196576756554302,0.030595075735172887,0.10592989479197525,0.022485448735465423,0.04439040219754035,0.004650717842536031,-0.028093454545339545,0.00012115264927045621,-0.011632269412877701,0.033915855391013355,0.0655375622401651,-0.023278563365188274,0.0,0.043336966398257404,-0.20323997314260028,0.05391807130623799,-0.05526339935006619,0.014346867303887033,-0.0255151315318837,-0.06469793769397963,-0.07815439263582696,-0.08806526287530778,0.013839365308224563,0.031642657407662846,0.0018010188599500085,-0.05655204177483718,0.00350611241105514,0.0792548533246569,-0.0106576767341999,0.07569998246961471,0.008808604131420664,-0.061305469985152516,0.011267023124148623,0.03719283964884173,0.07357399616209806,0.07951607722307272,-0.012704130636957838,-0.008128513736114576,-0.03473053971320897,-0.03651104040841342,-0.038164307715086276,-0.027514676078809332,0.006640612131638343,-0.013467346785626139,0.02157702297678895,-0.0112233755290071
ready_for_customers,-0.07059914578144849,0.07631266878228957,0.10557460289801583,0.0240292829844835,0.04332598675979293,0.13269644343319134,-0.012924854009982334,-0.05414581706319413,-0.00024450322783459155,0.03601078051756803,0.08323858926267172,0.011025021989163677,-0.03568544542766275,0.043336966398257404,0.0,-0.11249469075489221,0.016202052168033942,-0.02176065536018372,0.048300745602873445,-0.02949318454133426,-0.008348932857439817,0.035177020238038675,-0.1624009758951778,0.004592889703360303,0.07788798005918281,-0.041870198256512225,-0.01357607388073117,-0.026658293166455592,-0.039354848396309025,-0.05609253876595076,0.008692340601369024,0.08670103946166129,-0.09676720643480667,0.03232584566723995,0.058804956597258075,0.10068768005978151,0.17005284658590578,0.07014078899382094,0.04622471515807783,0.036298915053321015,0.000981540328228189,0.03732411322649555,0.0564160017421434,0.06788418991029643,0.13183433612070547,0.008514404152864662,0.004012641368452121
forbidden_industry,-0.09009080333267323,0.0946459373480186,-0.07643709596635645,-0.07423839371659281,0.021213845226701673,-0.049711068547048404,-0.03464045738680283,-0.030453773760480037,-0.04567243764946506,0.002985658777683425,-0.020188975238811448,-0.010907393432613158,0.11560578925875915,-0.20323997314260028,-0.11249469075489221,0.0,-0.02145497326144241,-0.04345286250835972,-0.0791658300797918,-0.10323301982239283,-0.03726004592184148,-0.04329632095557079,0.004366885467201823,-0.03636019272770976,0.01890637548176858,0.02526798976866637,0.03072799976719319,-0.07699528419762823,-0.08912641059744222,-0.023584530998563794,0.03133894516702463,0.03649074188912388,0.11723134658741925,-0.08278767940837796,0.011325920107931781,-0.013811070146719638,-0.07706475435698151,0.06900389671283857,-0.022714405961928797,0.08305421748637554,-0.00794513847116087,0.07824479948428169,-0.035279696570430896,0.013624208942955107,-0.028561427965375343,-0.03188620929289293,0.011269413782536585
ready_to_transfer,0.14350307839459625,-0.036593832743898026,0.06384189794884039,0.19675942077485584,-0.0751822060283053,-0.06559056023758537,0.05485397497284844,-0.05387286591142564,0.0701645047169844,-0.10818582629373974,0.1594704845137606,-0.010203368130377477,-0.053396181152179256,0.05391807130623799,0.016202052168033942,-0.02145497326144241,0.0,0.15300075049377024,-0.1475700195072777,0.09986224978500796,0.02694508017008157,0.019143595399175303,-0.051194702576699586,0.0052728616576836335,0.0688651618655406,0.03604103426476913,0.000676783313145711,0.07806402910698641,0.10385487537728497,0.1893553048974112,-0.12879811254580947,-0.13832286305660393,-0.045658856650812915,-0.1046114277093308,-0.08452483484986975,-0.15839876998783714,0.01598195029034224,-0.1406081779926639,-0.17523905512032922,-0.11151472054514502,-0.1454470913666562,-0.09548357529615373,-0.02892422534959594,-0.11803759862921573,-0.15179360398296807,0.11712698755482986,0.033122117826476775
customer_sentiment_lgs,0.03797747840034436,-0.0773040416801635,0.046050246622902545,0.012637737336196293,-0.08172089878816984,-0.025641865774197935,-0.009964733261822787,-0.044983983644968945,0.008844232201871836,0.05271716726173391,-0.1373436107345119,-0.029221050742896965,0.043609154230570324,-0.05526339935006619,-0.02176065536018372,-0.04345286250835972,0.15300075049377024,0.0,0.01828338055547847,-0.09290594542228967,-0.10698245942360098,-0.09416640980180499,-0.01921142448667018,-0.15772336572754675,-0.0014943677853195489,0.0026161698615040432,-0.0010054052629581006,-0.10232102867464297,-0.05936858437816153,-0.01680472160377916,0.07666316113886079,0.08358441304340242,0.08653928200170966,0.0022641449686624238,0.03524093213919956,0.06915725547209793,0.028100203387671288,0.026839413982335455,0.11857315210273664,0.14948002990139883,0.058363749050675325,0.12820943447655792,0.10684011587057399,0.0310852714399382,0.04987053834266724,-0.26876367895311143,0.08302816181725509
customer_sentiment_omc,-0.0492350238864525,0.13872401561063555,-0.08983906946879414,0.049965316414678176,-0.02677923541834597,-0.007666204491682356,0.03750695661533553,0.08438471667059463,0.014181791764414003,-0.058685822701194976,0.0011691583430155361,0.01828960045247277,-0.1647546713234194,0.014346867303887033,0.048300745602873445,-0.0791658300797918,-0.1475700195072777,0.01828338055547847,0.0,0.03635755312325417,0.03001481766825216,-0.02784671509043471,0.029009774017443816,-0.08804027351252937,-0.037707239104971015,0.07666879795532829,0.0055517083293709635,-0.1852869434907793,-0.0312156461431187,0.12558080183541948,-0.2090972230133335,-0.18272700776679024,-0.12554846569534436,-0.12297752147461091,-0.09399614703778583,-0.04757053516642436,-0.05699256816022022,-0.17911382510574111,-0.27171410977689237,-0.15046581728615482,-0.09304380410639261,-0.19528561681350143,-0.050992619934076056,-0.0924305576369947,-0.1807284322224983,0.10142909290486164,0.10010108885925521
customer_language,-0.04914808195465856,-0.017160860472537474,0.016063326586079337,0.05870142758007794,0.021535501986332743,-0.09666715266145319,-0.05880710481651037,-0.1059690493441959,-0.04753124930537883,-0.02473028186766482,0.04792436926808202,0.04193531988733101,0.009392182958074966,-0.0255151315318837,-0.02949318454133426,-0.10323301982239283,0.09986224978500796,-0.09290594542228967,0.03635755312325417,0.0,-0.0811791213247482,-0.06624035453353433,-0.14749517557395292,-0.05523419070307564,-0.007965105493141757,-0.04191589524074907,0.05578068930288831,-0.009859624508045048,0.02781398791980197,-0.1530541580251829,0.10203466031766159,0.04264003243470847,-0.0109269932475244,0.03781207295007083,0.004554355797088502,0.0803345500659005,0.07690015838573837,0.042307286896554774,-0.02537830926630022,-0.048048422487219564,0.022977194060063294,0.02094681512425213,-0.018733787897861728,-0.06409715220427209,-0.029490354418980333,0.045370343818654596,-0.08901925962604519
customer_knows_marketing,0.07527741139700561,0.06887309213043243,-0.0059092634608252925,-0.02267716923592865,0.06535583822230459,-0.023865701849961642,-0.07020931406627673,0.00443403684076539,-0.012758824939263919,0.032098316675099034,-0.07439185969667572,0.0728064364087526,0.08065089255169226,-0.06469793769397963,-0.008348932857439817,-0.03726004592184148,0.02694508017008157,-0.10698245942360098,0.03001481766825216,-0.0811791213247482,0.0,-0.015737659962729578,-0.14094815698399796,-0.07031456955631166,-0.03779769800067914,-0.04832058287709881,0.05278065455807429,-0.008154258425971912,-0.0206047744924798,-0.17328505668956168,0.07537125150258091,-0.05106108197006214,0.017655653848414415,0.07714544478179189,-0.014569043274611462,0.07923442929641566,0.048642307997546985,0.03836028207853329,0.05508415170046459,0.034666349814988076,0.017771286953125267,0.0009226374577552829,0.028897077257847376,-0.021857677860955382,0.009714939380468544,0.043529467131382414,0.02271011180508324
customer_availability,0.05440176900587569,-0.04479139442480516,0.08146221581556662,0.007971747502803328,0.05238384028136943,-0.05402967659970624,-0.016849784804483632,-0.03354405084012728,0.0008590198023826767,-0.04057818608781416,-0.04466954597079237,-0.07693929315437739,0.13520366875994116,-0.07815439263582696,0.035177020238038675,-0.04329632095557079,0.019143595399175303,-0.09416640980180499,-0.02784671509043471,-0.06624035453353433,-0.015737659962729578,0.0,-0.11252310071781263,-0.04929048228960198,-0.014065636902065574,-0.01470760815928885,-0.06462904034912977,-0.06959651116633254,-0.03064574456445643,-0.09897464564312808,0.05834467819422184,0.07490731466514794,-0.06303429974109973,0.11508843019868134,0.05467946054942547,0.046548761159412574,0.07840874551785017,0.09512527711378685,-0.05045926210601015,-0.07498223329109101,0.03367232375806349,-0.04374694417472545,0.05584435526588726,-0.02810868313947454,-0.017016649774440118,0.025177028660188453,-0.12517999330204455
who_said_hello_first_lgs,-0.03194361549031112,-0.028101016517717122,-0.09499422616937132,0.0625104136731294,0.05341863702583297,0.07709005812070645,-0.1839417257803481,0.00419145483444594,0.04249841578349224,0.02559252354898837,-0.01923741744541578,-0.11291699956224273,0.16683374294616665,-0.08806526287530778,-0.1624009758951778,0.004366885467201823,-0.051194702576699586,-0.01921142448667018,0.029009774017443816,-0.14749517557395292,-0.14094815698399796,-0.11252310071781263,0.0,-0.08546079206922078,-0.1205500004101933,0.03161095961553561,-0.04272427622966173,0.04993256676279242,-0.06451930429511103,-0.08841020793574433,0.02185668294222741,-0.04735758968607301,-0.08761550247468589,0.020371508295925662,-0.018471805085185193,0.01445729750887391,0.0728441080377044,-0.011445488053913544,-0.018104032208330723,0.019252034973498915,-0.046409939888132065,-0.012338378043966447,-0.0018286195993911791,-0.0653151614833653,-0.023287529104421244,-0.06228748200367903,0.044854358080194744
